1	11
1	44
1	49
1	50
1	58
1	102
2	41
2	83
2	106
2	112
2	116
2	119
3	57
3	61
3	81
3	87
3	92
3	100
4	40
4	47
4	55
4	59
4	66
4	72
5	26
5	39
5	42
5	48
5	62
5	82
6	12
6	32
6	33
6	42
6	45
6	66
7	74
7	79
7	87
7	92
7	99
7	100
8	75
8	79
8	80
8	87
8	92
8	100
9	11
9	38
9	49
9	50
9	58
9	107
10	18
10	35
10	53
10	94
10	97
10	120
11	1
11	9
11	44
11	49
11	50
11	114
12	6
12	25
12	32
12	33
12	45
12	78
13	52
13	75
13	84
13	86
13	94
13	118
14	16
14	76
14	78
14	96
14	111
14	119
15	56
15	57
15	87
15	96
15	100
15	104
16	14
16	36
16	41
16	67
16	74
16	103
17	58
17	60
17	61
17	69
17	73
17	97
18	10
18	40
18	43
18	99
18	103
18	107
19	34
19	41
19	67
19	74
19	86
19	109
20	34
20	36
20	67
20	74
20	117
20	118
21	39
21	42
21	48
21	62
21	72
21	79
22	25
22	90
22	107
22	110
22	116
22	118
23	28
23	46
23	82
23	89
23	93
23	110
24	61
24	64
24	68
24	69
24	73
24	96
24	109
25	12
25	22
25	32
25	33
25	45
25	85
25	91
26	5
26	39
26	42
26	46
26	48
26	62
26	108
27	33
27	96
27	98
27	104
27	115
27	117
27	118
28	23
28	67
28	80
28	95
28	101
28	117
28	120
29	35
29	63
29	65
29	83
29	90
29	110
29	116
30	60
30	75
30	84
30	89
30	94
30	101
30	111
31	34
31	57
31	76
31	79
31	87
31	92
31	100
32	6
32	12
32	25
32	33
32	36
32	45
32	117
33	6
33	12
33	25
33	27
33	32
33	45
33	73
34	19
34	20
34	31
34	67
34	74
34	76
34	114
35	10
35	29
35	40
35	47
35	55
35	59
35	66
36	16
36	20
36	32
36	41
36	67
36	74
36	105
37	80
37	99
37	101
37	108
37	116
37	118
37	120
38	9
38	41
38	44
38	49
38	50
38	106
38	117
39	5
39	21
39	26
39	48
39	62
39	75
39	83
40	4
40	18
40	35
40	55
40	59
40	66
40	106
41	2
41	16
41	19
41	36
41	38
41	74
41	117
42	5
42	6
42	21
42	26
42	48
42	62
42	103
43	18
43	51
43	68
43	95
43	103
43	116
43	120
44	1
44	11
44	38
44	49
44	50
44	82
44	89
45	6
45	12
45	25
45	32
45	33
45	95
45	120
46	23
46	26
46	47
46	82
46	83
46	88
46	114
47	4
47	35
47	46
47	54
47	55
47	59
47	66
48	5
48	21
48	26
48	39
48	42
48	100
48	105
48	114
49	1
49	9
49	11
49	38
49	44
49	50
49	54
49	99
50	1
50	9
50	11
50	38
50	44
50	49
50	52
50	68
51	43
51	59
51	95
51	96
51	101
51	102
51	103
51	111
52	13
52	50
52	60
52	67
52	71
52	72
52	89
52	94
53	10
53	63
53	65
53	78
53	84
53	95
53	99
53	104
54	47
54	49
54	88
54	99
54	101
54	115
54	117
54	120
55	4
55	35
55	40
55	47
55	58
55	59
55	66
55	83
56	15
56	57
56	76
56	79
56	80
56	87
56	92
56	100
57	3
57	15
57	31
57	56
57	79
57	87
57	92
57	100
57	112
58	1
58	9
58	17
58	55
58	61
58	64
58	68
58	69
58	73
59	4
59	35
59	40
59	47
59	51
59	55
59	66
59	83
59	89
60	17
60	30
60	52
60	71
60	72
60	84
60	89
60	93
60	94
61	3
61	17
61	24
61	58
61	64
61	69
61	73
61	87
61	113
62	5
62	21
62	26
62	39
62	42
62	94
62	95
62	104
62	107
63	29
63	53
63	77
63	80
63	96
63	103
63	111
63	115
63	120
64	24
64	58
64	61
64	68
64	69
64	73
64	77
64	92
64	115
65	29
65	53
65	85
65	86
65	91
65	109
65	111
65	114
65	119
66	4
66	6
66	35
66	40
66	47
66	55
66	59
66	113
66	115
